dimension,pds_score
41,2.03350996949179
41,2.3692967356364747
42,2.3769394077312547
43,2.260395925405784
43,2.2947763214557404
44,2.270137193275265
45,2.414006705077822
45,2.310365032886478
46,2.320319451340974
47,2.4461483180498584
48,2.4525385120445167
48,2.327741016198063
49,2.2630333080961242
50,2.5126259331515897
51,2.456742261218135
51,2.442228969162904
52,2.4928654277308686
53,2.2711177488846075
54,2.3463419072758844
55,2.4969984881230602
56,2.389802531254811
56,2.274964488640361
57,2.471916487728218
58,2.5247821562946147
59,2.2849143315682605
60,2.5352259312049785
61,2.535389693912212
62,2.47132545576675
63,2.540427203528384
64,2.4360488742968327
65,2.4916809775771886
66,2.5991868131321354
67,2.6577882577906085
68,2.556415033311247
69,2.5801647701807173
70,2.6676435364077453
71,2.3849939986543216
72,2.5842915340631376
74,2.69075009083365
75,2.7083993276052443
76,2.696097843229954
77,2.639849338637979
78,2.545467597451602
79,2.685048570671196
81,2.507506035232218
82,2.72823578293465
83,2.5367146648762144
85,2.5601068308695667
86,2.558922144385817
87,2.616381926752049
89,2.5557600871299986
90,2.7021020271127365
91,2.623741897911301
93,2.670638059067595
94,2.736360660820341
96,2.715652896252676
97,2.6599276266859753
99,2.7601739731297745
100,2.8293681715546453
102,2.7541428097756997
103,2.783090503716555
105,2.812232878160703
107,2.877009779241741
108,2.746888896811453
110,2.9104822928732514
112,2.739532947972772
113,2.6389065034425383
115,2.9685821926092077
117,2.8181206521641866
119,2.6654144186871025
121,2.595368074483934
123,2.596439643502214
125,2.8969966161574994
126,2.685322038694324
128,2.6873416192166784
130,2.837862306114381
132,2.6993690671048904
135,3.0549853615499445
137,2.7998110077315226
139,3.0303244608849838
141,2.8190816767371993
143,3.0394468654517803
145,2.784821846629234
148,3.0425121818316705
150,2.8876616640410946
152,3.0599273769963578
155,2.984452745937124
157,3.056818682188249
159,3.063206320949845
162,2.8458989394228404
164,3.025846066351322
167,3.030231110958499
170,3.0151873509180716
172,3.1136470907829947
175,3.023405729472818
178,3.0697442061853373
180,3.0118815600806026
183,2.860302031921086
186,3.07483136041648
189,2.8120878353430627
192,3.1228289823246946
195,3.1499320942003233
198,3.144914669748017
201,3.086521251487734
204,3.149960922918255
207,3.1196763870729307
211,3.0101778504364294
214,3.186634512072852
217,2.1534142820222346
221,2.911852298387304
224,3.03524905875377
227,3.0443686786457658
231,3.039029372763991
235,3.222528525821116
238,3.1114290044489943
242,3.3140953682284993
246,3.292307281086135
250,3.2686527215180754
253,3.2402859969979754
257,3.164841986339855
261,3.2127827814169203
265,3.240139249345018
270,3.1196226318657727
274,3.155078435764035
278,3.170860900738066
282,3.372936243583715
287,3.3421985980113376
291,3.4195385676907426
296,3.3783106598245998
300,3.335747397366543
305,3.1566214420808274
310,3.152827891378288
315,3.253796901542451
319,3.3194000624268223
324,3.4133346040879626
329,3.381506511957495
335,3.3658654061540036
340,3.378429275322392
345,3.487710512930316
350,3.4060264969459007
356,3.37837273688073
361,3.20369901444479
367,3.469925302988182
373,3.4439685849001007
378,3.3947978564220787
384,3.291587666455406
390,3.0396673577610067
396,3.4123958697419217
403,3.454134614454006
409,3.3703097019857933
415,3.612472948427148
422,3.499465526131132
428,3.1250982548313053
435,3.5501206263609832
442,3.442551941812007
448,3.4146861285330288
455,3.5638556774318646
462,3.4549774588732283
470,3.359576638372617
477,3.403859452991393
484,3.463915099184548
492,3.2178864471449113
500,3.274976173698861
507,3.511655846498539
515,3.6896583105957643
523,3.6666596062169377
531,3.2556750002695236
540,3.0085822280864942
548,3.6574297615724882
556,3.6615082409850803
565,3.5399037323430673
574,3.6434472421133584
583,3.7211097455936013
592,3.676317378095101
601,3.613993362209559
610,3.332827455699421
620,3.6471570164387823
629,3.7226317554839556
639,3.70962630018472
649,3.6857802302533824
659,3.788358862754691
670,3.771599640863177
680,3.5137424692817927
690,3.8958405746849394
701,3.5562837445942876
712,3.4084092564032336
723,3.701210083245098
734,3.8453914267415725
746,3.545151123820329
757,3.6809638773234035
769,3.905971511419679
781,3.742321484675388
793,3.8567435894116717
806,3.88630469560305
818,3.652348790160967
831,3.7969701358910384
844,3.641104203491045
857,3.6752910832497725
870,3.7905561191142603
884,3.5020094384291447
897,3.707924442898976
911,3.9991034108823675
925,3.815814578788247
940,3.760090576756044
954,3.757670995732535
969,3.725715697672595
984,3.938298640236289
1000,4.025541949505902
